id,student_id,course_id,grade,semester
1,1,13,F,S-1 2025
2,1,3,D,S-3 2021
3,1,9,C,S-3 2023
4,1,10,D,S-2 2021
5,1,4,F,S-2 2024
6,2,11,A,S-3 2024
7,2,7,C,S-2 2022
8,2,3,D,S-3 2022
9,2,13,IP,S-2 2025
10,2,4,C,S-3 2021
11,3,7,IP,S-2 2025
12,3,11,F,S-1 2021
13,3,6,W,S-3 2025
14,3,15,C,S-2 2024
15,3,8,D,S-2 2021
16,4,12,B,S-1 2025
17,4,6,A,S-3 2025
18,4,3,A,S-1 2022
19,4,15,W,S-3 2025
20,4,5,F,S-3 2025
21,5,6,B,S-3 2021
22,5,7,D,S-3 2021
23,5,8,IP,S-1 2023
24,5,5,F,S-1 2022
25,5,15,F,S-2 2023
26,6,8,F,S-2 2023
27,6,12,IP,S-1 2025
28,6,11,B,S-3 2024
29,6,5,F,S-3 2024
30,6,14,IP,S-3 2021
31,7,2,F,S-2 2022
32,7,9,IP,S-3 2023
33,7,1,C,S-2 2024
34,7,15,D,S-3 2021
35,7,5,W,S-3 2024
36,8,14,IP,S-3 2023
37,8,3,A,S-3 2023
38,8,10,F,S-1 2022
39,8,2,B,S-1 2023
40,8,8,W,S-1 2023
41,9,15,D,S-1 2025
42,9,10,B,S-2 2024
43,9,11,D,S-2 2025
44,9,13,C,S-3 2024
45,9,3,F,S-1 2024
46,10,1,A,S-3 2025
47,10,4,D,S-3 2024
48,10,8,B,S-2 2021
49,10,12,IP,S-1 2023
50,10,15,D,S-1 2022
51,11,15,A,S-2 2021
52,11,7,A,S-1 2021
53,11,4,A,S-3 2024
54,11,5,F,S-1 2021
55,11,10,F,S-3 2021
56,12,10,W,S-1 2021
57,12,9,IP,S-2 2023
58,12,8,A,S-1 2021
59,12,3,W,S-2 2023
60,12,6,A,S-3 2024
61,13,15,F,S-2 2025
62,13,3,IP,S-1 2024
63,13,7,C,S-2 2022
64,13,2,W,S-2 2024
65,13,14,B,S-3 2022
66,14,13,C,S-1 2022
67,14,8,D,S-1 2025
68,14,11,IP,S-3 2023
69,14,3,B,S-2 2022
70,14,10,W,S-3 2021
71,15,12,IP,S-1 2021
72,15,9,C,S-3 2022
73,15,4,IP,S-1 2024
74,15,1,B,S-1 2022
75,15,8,C,S-1 2023
76,16,9,IP,S-3 2022
77,16,5,W,S-1 2021
78,16,12,F,S-2 2021
79,16,1,C,S-2 2023
80,16,8,IP,S-1 2024
81,17,4,C,S-2 2025
82,17,11,A,S-1 2021
83,17,7,D,S-2 2025
84,17,10,B,S-1 2024
85,17,9,A,S-3 2023
86,18,12,W,S-3 2021
87,18,11,D,S-3 2024
88,18,1,IP,S-2 2024
89,18,15,A,S-2 2021
90,18,13,IP,S-1 2023
91,19,12,D,S-1 2023
92,19,11,A,S-1 2023
93,19,15,F,S-2 2023
94,19,2,W,S-3 2025
95,19,1,B,S-3 2022
96,20,12,C,S-3 2025
97,20,3,C,S-3 2025
98,20,7,IP,S-3 2024
99,20,1,IP,S-2 2021
100,20,9,IP,S-2 2023
101,21,1,W,S-1 2024
102,21,15,A,S-2 2025
103,21,12,C,S-3 2025
104,21,5,A,S-1 2023
105,21,3,D,S-2 2023
106,22,1,C,S-1 2022
107,22,13,C,S-2 2024
108,22,9,D,S-2 2022
109,22,12,IP,S-2 2022
110,22,11,IP,S-2 2023
111,23,5,IP,S-3 2021
112,23,12,B,S-3 2022
113,23,9,C,S-2 2022
114,23,13,D,S-1 2022
115,23,11,D,S-1 2025
116,24,1,A,S-1 2021
117,24,13,A,S-1 2024
118,24,4,F,S-1 2022
119,24,6,D,S-1 2023
120,24,9,A,S-3 2025
121,25,3,D,S-2 2023
122,25,4,B,S-3 2021
123,25,9,F,S-2 2025
124,25,13,D,S-2 2024
125,25,10,A,S-3 2022
126,26,6,W,S-3 2025
127,26,5,A,S-1 2023
128,26,12,W,S-1 2023
129,26,9,W,S-3 2021
130,26,3,W,S-3 2025
131,27,2,IP,S-2 2025
132,27,6,A,S-1 2023
133,27,13,A,S-2 2022
134,27,3,C,S-3 2021
135,27,5,D,S-1 2025
136,28,5,F,S-3 2021
137,28,9,B,S-1 2022
138,28,15,F,S-1 2025
139,28,3,IP,S-2 2024
140,28,2,B,S-1 2021
141,29,2,W,S-2 2022
142,29,15,IP,S-2 2022
143,29,1,C,S-1 2025
144,29,11,IP,S-3 2021
145,29,12,IP,S-1 2021
146,30,6,W,S-3 2023
147,30,3,IP,S-3 2022
148,30,4,F,S-2 2021
149,30,2,IP,S-2 2025
150,30,7,A,S-3 2021
151,31,9,C,S-3 2025
152,31,12,A,S-2 2021
153,31,11,A,S-1 2022
154,31,3,C,S-3 2022
155,31,8,C,S-2 2022
156,32,13,W,S-2 2021
157,32,10,F,S-3 2024
158,32,4,IP,S-3 2022
159,32,2,C,S-3 2021
160,32,7,A,S-3 2021
161,33,13,W,S-2 2024
162,33,7,D,S-3 2025
163,33,15,F,S-2 2025
164,33,2,F,S-1 2023
165,33,12,B,S-3 2025
166,34,13,C,S-1 2023
167,34,2,IP,S-2 2023
168,34,3,W,S-1 2025
169,34,8,W,S-1 2021
170,34,6,W,S-1 2023
171,35,4,C,S-3 2024
172,35,1,B,S-2 2024
173,35,14,F,S-2 2021
174,35,6,A,S-2 2023
175,35,11,A,S-1 2021
176,36,10,F,S-3 2024
177,36,5,D,S-1 2025
178,36,12,W,S-2 2025
179,36,9,D,S-2 2023
180,36,1,C,S-3 2025
181,37,8,C,S-1 2021
182,37,1,C,S-2 2023
183,37,3,B,S-1 2023
184,37,10,B,S-1 2022
185,37,7,C,S-2 2021
186,38,8,B,S-2 2023
187,38,7,C,S-2 2025
188,38,15,D,S-3 2023
189,38,13,C,S-3 2024
190,38,9,D,S-2 2023
191,39,6,B,S-1 2022
192,39,10,A,S-3 2022
193,39,3,W,S-3 2022
194,39,13,C,S-1 2025
195,39,11,IP,S-1 2024
196,40,13,B,S-3 2021
197,40,6,D,S-2 2025
198,40,2,A,S-2 2022
199,40,14,W,S-3 2025
200,40,15,A,S-3 2021
201,41,13,B,S-1 2024
202,41,6,B,S-2 2023
203,41,5,D,S-1 2021
204,41,12,IP,S-1 2024
205,41,3,B,S-3 2025
206,42,14,A,S-1 2022
207,42,12,F,S-3 2024
208,42,7,F,S-3 2021
209,42,3,F,S-1 2025
210,42,10,F,S-1 2025
211,43,8,C,S-1 2022
212,43,1,F,S-3 2025
213,43,7,W,S-1 2023
214,43,3,A,S-2 2024
215,43,6,A,S-2 2022
216,44,6,F,S-3 2021
217,44,13,D,S-1 2024
218,44,4,A,S-3 2022
219,44,8,IP,S-1 2022
220,44,14,A,S-1 2022
221,45,12,IP,S-1 2024
222,45,8,A,S-2 2023
223,45,11,F,S-2 2021
224,45,7,C,S-2 2023
225,45,4,F,S-1 2023
226,46,5,A,S-1 2021
227,46,7,A,S-2 2022
228,46,6,A,S-3 2024
229,46,14,A,S-3 2025
230,46,4,B,S-2 2024
231,47,13,W,S-3 2022
232,47,4,D,S-1 2021
233,47,8,IP,S-1 2023
234,47,14,W,S-3 2025
235,47,6,F,S-2 2025
236,48,13,D,S-3 2023
237,48,15,A,S-3 2021
238,48,14,D,S-3 2024
239,48,7,IP,S-2 2023
240,48,12,A,S-1 2025
241,49,10,W,S-3 2024
242,49,12,B,S-1 2023
243,49,6,D,S-3 2024
244,49,9,D,S-3 2021
245,49,2,D,S-3 2022
246,50,11,W,S-3 2025
247,50,7,W,S-1 2021
248,50,4,C,S-2 2021
249,50,8,C,S-2 2022
250,50,5,F,S-1 2025
251,51,8,F,S-2 2022
252,51,5,D,S-3 2023
253,51,11,B,S-2 2024
254,51,4,F,S-3 2022
255,51,15,W,S-3 2023
256,52,10,A,S-3 2025
257,52,13,B,S-1 2023
258,52,9,W,S-1 2024
259,52,7,IP,S-1 2023
260,52,3,IP,S-2 2021
261,53,1,B,S-1 2022
262,53,13,C,S-3 2024
263,53,5,W,S-3 2023
264,53,6,A,S-3 2023
265,53,7,W,S-1 2022
266,54,4,F,S-2 2023
267,54,12,D,S-3 2023
268,54,14,W,S-3 2024
269,54,10,F,S-3 2022
270,54,7,W,S-2 2024
271,55,6,A,S-3 2022
272,55,14,D,S-3 2025
273,55,4,C,S-2 2022
274,55,10,B,S-2 2021
275,55,3,F,S-3 2022
276,56,1,IP,S-1 2022
277,56,7,W,S-3 2021
278,56,8,W,S-3 2023
279,56,13,B,S-2 2022
280,56,15,F,S-3 2022
281,57,1,IP,S-2 2023
282,57,5,W,S-3 2021
283,57,15,D,S-2 2023
284,57,4,B,S-3 2025
285,57,14,W,S-2 2022
286,58,6,C,S-1 2025
287,58,15,F,S-2 2021
288,58,12,IP,S-3 2025
289,58,14,F,S-2 2022
290,58,7,F,S-1 2021
291,59,3,D,S-2 2023
292,59,6,F,S-1 2025
293,59,14,A,S-2 2024
294,59,11,B,S-3 2025
295,59,7,IP,S-2 2021
296,60,2,B,S-2 2021
297,60,8,W,S-1 2021
298,60,7,F,S-2 2023
299,60,13,D,S-1 2022
300,60,12,IP,S-3 2022
301,61,1,A,S-3 2024
302,61,13,W,S-1 2021
303,61,4,W,S-2 2024
304,61,7,D,S-1 2025
305,61,8,A,S-3 2021
306,62,3,IP,S-2 2022
307,62,4,A,S-2 2025
308,62,10,C,S-2 2025
309,62,13,W,S-2 2023
310,62,9,W,S-2 2025
311,63,15,W,S-2 2021
312,63,8,IP,S-1 2023
313,63,11,F,S-3 2025
314,63,3,F,S-3 2023
315,63,1,A,S-1 2025
316,64,2,B,S-3 2022
317,64,1,F,S-2 2022
318,64,7,F,S-2 2022
319,64,15,A,S-2 2023
320,64,14,F,S-3 2025
321,65,9,B,S-1 2021
322,65,11,IP,S-3 2025
323,65,3,W,S-2 2025
324,65,1,D,S-3 2023
325,65,8,D,S-3 2023
326,66,15,W,S-1 2025
327,66,8,F,S-1 2023
328,66,2,D,S-2 2024
329,66,9,D,S-2 2021
330,66,13,C,S-2 2022
331,67,4,D,S-2 2024
332,67,9,W,S-1 2023
333,67,12,W,S-3 2024
334,67,13,B,S-2 2022
335,67,8,B,S-2 2024
336,68,9,D,S-2 2025
337,68,12,IP,S-2 2024
338,68,1,F,S-2 2022
339,68,13,F,S-2 2021
340,68,4,IP,S-3 2024
341,69,12,A,S-3 2024
342,69,7,F,S-2 2024
343,69,6,F,S-3 2025
344,69,3,A,S-1 2024
345,69,4,B,S-2 2025
346,70,13,F,S-3 2024
347,70,8,A,S-2 2023
348,70,9,B,S-1 2023
349,70,12,C,S-3 2024
350,70,2,B,S-1 2024
351,71,15,A,S-3 2022
352,71,12,IP,S-1 2023
353,71,1,C,S-3 2022
354,71,4,D,S-2 2021
355,71,11,F,S-3 2023
356,72,7,B,S-3 2024
357,72,6,C,S-3 2024
358,72,3,W,S-2 2021
359,72,8,F,S-3 2023
360,72,14,F,S-3 2025
361,73,15,F,S-1 2025
362,73,5,W,S-3 2025
363,73,13,F,S-3 2025
364,73,11,IP,S-1 2025
365,73,14,C,S-2 2021
366,74,2,W,S-1 2023
367,74,4,W,S-3 2025
368,74,14,D,S-3 2025
369,74,1,W,S-3 2022
370,74,9,IP,S-3 2025
371,75,2,D,S-3 2021
372,75,6,A,S-1 2023
373,75,4,D,S-1 2025
374,75,1,F,S-3 2021
375,75,13,IP,S-3 2022
376,76,4,F,S-1 2024
377,76,8,C,S-2 2021
378,76,3,IP,S-1 2023
379,76,1,B,S-3 2022
380,76,2,B,S-2 2023
381,77,10,B,S-3 2021
382,77,5,B,S-3 2025
383,77,13,F,S-2 2021
384,77,2,A,S-3 2025
385,77,11,C,S-2 2025
386,78,9,B,S-1 2021
387,78,2,C,S-3 2021
388,78,8,D,S-1 2023
389,78,12,IP,S-3 2025
390,78,14,IP,S-3 2022
391,79,4,IP,S-1 2024
392,79,14,F,S-1 2024
393,79,12,F,S-1 2022
394,79,10,W,S-2 2025
395,79,2,A,S-3 2021
396,80,1,W,S-1 2021
397,80,11,A,S-3 2024
398,80,15,D,S-1 2023
399,80,14,B,S-3 2023
400,80,4,F,S-1 2025
401,81,9,C,S-3 2022
402,81,7,D,S-1 2021
403,81,14,B,S-3 2021
404,81,3,D,S-1 2023
405,81,4,A,S-2 2022
406,82,1,B,S-1 2021
407,82,5,F,S-3 2023
408,82,15,B,S-1 2022
409,82,2,W,S-2 2021
410,82,4,F,S-2 2024
411,83,3,D,S-3 2022
412,83,8,B,S-2 2025
413,83,2,D,S-3 2023
414,83,12,D,S-3 2023
415,83,7,A,S-1 2022
416,84,6,W,S-2 2024
417,84,3,B,S-3 2024
418,84,15,W,S-2 2021
419,84,11,A,S-3 2022
420,84,7,F,S-2 2022
421,85,15,A,S-3 2021
422,85,13,F,S-1 2022
423,85,2,D,S-2 2022
424,85,12,B,S-2 2023
425,85,6,A,S-3 2021
426,86,1,A,S-3 2025
427,86,15,A,S-3 2023
428,86,7,F,S-1 2024
429,86,4,IP,S-1 2024
430,86,9,D,S-3 2022
431,87,4,A,S-2 2022
432,87,8,W,S-2 2021
433,87,13,C,S-2 2021
434,87,11,D,S-1 2021
435,87,10,F,S-3 2025
436,88,15,D,S-2 2025
437,88,12,W,S-1 2024
438,88,11,F,S-1 2025
439,88,2,B,S-2 2022
440,88,6,IP,S-1 2025
441,89,15,B,S-1 2023
442,89,10,A,S-3 2025
443,89,3,IP,S-2 2023
444,89,7,B,S-2 2022
445,89,6,F,S-1 2025
446,90,10,W,S-2 2023
447,90,15,B,S-2 2021
448,90,9,C,S-3 2024
449,90,3,D,S-1 2021
450,90,8,F,S-2 2022
451,91,6,A,S-3 2024
452,91,11,A,S-2 2021
453,91,3,B,S-1 2022
454,91,14,D,S-1 2022
455,91,15,IP,S-3 2022
456,92,14,W,S-1 2025
457,92,1,B,S-2 2022
458,92,9,D,S-3 2023
459,92,4,F,S-1 2022
460,92,2,C,S-2 2024
461,93,6,C,S-3 2022
462,93,2,IP,S-3 2021
463,93,12,C,S-3 2021
464,93,7,F,S-2 2022
465,93,9,W,S-2 2022
466,94,2,F,S-3 2022
467,94,7,C,S-3 2025
468,94,5,F,S-2 2022
469,94,14,C,S-1 2021
470,94,6,F,S-3 2023
471,95,11,B,S-2 2024
472,95,12,C,S-1 2021
473,95,13,B,S-2 2023
474,95,7,B,S-1 2024
475,95,15,W,S-3 2024
476,96,7,B,S-1 2022
477,96,9,F,S-2 2023
478,96,10,C,S-2 2024
479,96,13,F,S-3 2023
480,96,12,D,S-2 2022
481,97,6,B,S-3 2025
482,97,15,B,S-3 2025
483,97,5,C,S-3 2025
484,97,8,W,S-3 2024
485,97,2,F,S-2 2021
486,98,12,D,S-1 2024
487,98,14,D,S-1 2023
488,98,1,F,S-2 2021
489,98,5,B,S-1 2025
490,98,13,C,S-1 2021
491,99,12,B,S-2 2023
492,99,1,D,S-3 2021
493,99,14,F,S-1 2022
494,99,6,IP,S-3 2025
495,99,2,C,S-3 2024
496,100,10,W,S-1 2021
497,100,3,C,S-2 2024
498,100,9,C,S-1 2021
499,100,14,B,S-2 2022
500,100,11,B,S-2 2025
